,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue
Administrative,1.0,0.6015833421250285,0.3768504293073101,0.25584814023262387,0.4311193396245597,0.37393901295969506,-0.2235626303842191,-0.3164829975272647,0.09898958539970676,-0.09477759754428301,-0.006347063271776717,-0.02503457230162452,-0.005486805267110688,-0.03356071261302928,0.026416750253927125,0.13891709415066086
Administrative_Duration,0.6015833421250285,1.0,0.3027097089757086,0.2380307893500052,0.2890866214062257,0.35542195350163835,-0.1441704095071194,-0.2057977572744556,0.06760848087034346,-0.07330372492125477,-0.00734341752199492,-0.015391526719884469,-0.005560562839320909,-0.014376430636007251,0.01499014191381626,0.09358671905703356
Informational,0.3768504293073101,0.3027097089757086,1.0,0.618954861781397,0.3741642906577037,0.38750530625983337,-0.11611361638718098,-0.16366606078448462,0.04863169195373733,-0.04821925398952446,-0.009526667891750811,-0.03823467813983875,-0.029168637937305984,-0.0344907538267895,0.03578472510756802,0.09520034257203504
Informational_Duration,0.25584814023262387,0.2380307893500052,0.618954861781397,1.0,0.2800462678592116,0.3473635774465121,-0.07406660989571649,-0.10527568334787678,0.030860873716778068,-0.030576549486362282,-0.009578676401064462,-0.019284980935370913,-0.02714411235376558,-0.02467490778346248,0.024078486249596926,0.0703445023459828
ProductRelated,0.4311193396245597,0.2890866214062257,0.3741642906577037,0.2800462678592116,1.0,0.8609268361763887,-0.20457763335074386,-0.2925262831135813,0.05628179410884758,-0.02395817472400663,0.004289620582246902,-0.013145720955837912,-0.03812184171387203,-0.043064303810432296,0.01609196423447047,0.15853798428086296
ProductRelated_Duration,0.37393901295969506,0.35542195350163835,0.38750530625983337,0.3473635774465121,0.8609268361763887,1.0,-0.18454111529427752,-0.2519840974061023,0.052823062950141594,-0.0363798450973876,0.0029757897949968214,-0.00738044033498615,-0.03309051983672388,-0.036377170489539576,0.007310613811572955,0.15237261055699822
BounceRates,-0.2235626303842191,-0.1441704095071194,-0.11611361638718098,-0.07406660989571649,-0.20457763335074386,-0.18454111529427752,1.0,0.9130043961814553,-0.11938602629478857,0.07270225308254916,0.02382318246307881,-0.01577220926155792,-0.006485347449602328,0.07828554120290643,-0.046513996531185924,-0.15067291192603885
ExitRates,-0.3164829975272647,-0.2057977572744556,-0.16366606078448462,-0.10527568334787678,-0.2925262831135813,-0.2519840974061023,0.9130043961814553,1.0,-0.1744983100017722,0.10224180209857975,0.014566735344770845,-0.0044423550264733975,-0.008907005956706572,0.0786163306123263,-0.06258704801055157,-0.20707108205525093
PageValues,0.09898958539970676,0.06760848087034346,0.04863169195373733,0.030860873716778068,0.05628179410884758,0.052823062950141594,-0.11938602629478857,-0.1744983100017722,1.0,-0.06354127178536241,0.018507946634802496,0.04559191854226606,0.011315299468005862,0.012531692664865748,0.012001639171357686,0.49256929525114623
SpecialDay,-0.09477759754428301,-0.07330372492125477,-0.04821925398952446,-0.030576549486362282,-0.02395817472400663,-0.0363798450973876,0.07270225308254916,0.10224180209857975,-0.06354127178536241,1.0,0.01265223473651891,0.003498746743315456,-0.016097974624067556,0.05230144264218021,-0.016767155269542512,-0.08230459817953296
OperatingSystems,-0.006347063271776717,-0.00734341752199492,-0.009526667891750811,-0.009578676401064462,0.004289620582246902,0.0029757897949968214,0.02382318246307881,0.014566735344770845,0.018507946634802496,0.01265223473651891,1.0,0.2230128882474761,0.07677548563257623,0.18915361212807213,0.0002842506113325894,-0.014667559594207914
Browser,-0.02503457230162452,-0.015391526719884469,-0.03823467813983875,-0.019284980935370913,-0.013145720955837912,-0.00738044033498615,-0.01577220926155792,-0.0044423550264733975,0.04559191854226606,0.003498746743315456,0.2230128882474761,1.0,0.09739284920807828,0.11193822446993149,-0.04026086380886504,0.023984289404093445
Region,-0.005486805267110688,-0.005560562839320909,-0.029168637937305984,-0.02714411235376558,-0.03812184171387203,-0.03309051983672388,-0.006485347449602328,-0.008907005956706572,0.011315299468005862,-0.016097974624067556,0.07677548563257623,0.09739284920807828,1.0,0.04752023129707471,-0.0006906703089072197,-0.011595067777798848
TrafficType,-0.03356071261302928,-0.014376430636007251,-0.0344907538267895,-0.02467490778346248,-0.043064303810432296,-0.036377170489539576,0.07828554120290643,0.0786163306123263,0.012531692664865748,0.05230144264218021,0.18915361212807213,0.11193822446993149,0.04752023129707471,1.0,-0.0022212292430307825,-0.005112970502756178
Weekend,0.026416750253927125,0.01499014191381626,0.03578472510756802,0.024078486249596926,0.01609196423447047,0.007310613811572955,-0.046513996531185924,-0.06258704801055157,0.012001639171357686,-0.016767155269542512,0.0002842506113325894,-0.04026086380886504,-0.0006906703089072197,-0.0022212292430307825,1.0,0.029295367971999182
Revenue,0.13891709415066086,0.09358671905703356,0.09520034257203504,0.0703445023459828,0.15853798428086296,0.15237261055699822,-0.15067291192603885,-0.20707108205525093,0.49256929525114623,-0.08230459817953296,-0.014667559594207914,0.023984289404093445,-0.011595067777798848,-0.005112970502756178,0.029295367971999182,1.0
